MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,Total Bsmnt SF,Style
10397935,CLSD,2/24/2020,610000,2 Stories,1980,3910,Rugen,25,60025,3744,12,3,1,No,4,0,Attached,2.5,,,Colonial
10658131,CLSD,4/30/2020,611000,Split Level,1962,1313,Pam Anne,25,60025,2883,10,4,0,Yes,5,0,Attached,3,,,Tri-Level
10253401,CLSD,3/29/2019,615000,2 Stories,1986,1023,BETTE,25,60025,2843,11,2,1,No,5,0,Attached,2,,0,
10453171,CLSD,8/22/2019,615000,1 Story,1988,2505,Osage,25,60026,0,8,2,0,No,3,0,Attached,2.5,,,Ranch
10667020,CLSD,6/15/2020,615000,Split Level,1958,1031,Huckleberry,25,60025,1692,8,2,1,Yes,3,0,Attached,2,,,
10616381,CLSD,5/15/2020,615000,3 Stories,1958,1222,Sherwood,25,60025,3905,11,4,1,Yes,5,0,Attached,2,,,"Contemporary, L Bi-Level"
10761190,CLSD,10/19/2020,617000,2 Stories,1975,3913,Michael,25,60025,3146,12,4,1,Yes,5,1,Attached,2,,,
10686834,CLSD,8/6/2020,617500,1 Story,1961,1307,Canterbury,25,60025,4177,11,2,1,No,3,0,Attached,2.5,,1929,Ranch
10721169,CLSD,8/25/2020,618500,Split Level,UNK,1103,Arbor,25,60025,3200,11,3,1,Yes,5,0,Detached,2,,,Tri-Level
10661269,CLSD,5/19/2020,619872,1 Story,1959,820,Queens,25,60025,3320,11,3,0,Yes,3,0,Attached,2,,930,Ranch
10361543,CLSD,6/11/2019,620000,2 Stories,1941,914,Wagner,25,60025,2948,11,3,0,No,4,0,Attached,2,,,
10390465,CLSD,6/20/2019,625000,2 Stories,1943,1152,Raleigh,25,60025,2303,9,2,0,No,3,0,Attached,1,,,Colonial
10892037,CLSD,12/10/2020,625000,3 Stories,2002,2206,Goldenrod,25,60026,2006,10,2,1,No,3,0,Detached,2,,843,
10444276,CLSD,9/12/2019,625000,2 Stories,UNK,611,Glenshire,25,60025,0,10,2,1,No,4,0,Attached,2.5,,,Colonial
10642869,CLSD,4/7/2020,625000,3 Stories,2001,2584,Violet,25,60026,0,9,2,1,No,4,0,Detached,2,,,
10360199,CLSD,1/30/2020,625000,2 Stories,1948,1603,Hawthorne,25,60025,0,8,2,0,No,3,0,Attached,2,,,Other
10315880,CLSD,6/3/2019,625000,2 Stories,1966,1041,Meadowlark,25,60025,4239,12,3,1,Yes,4,1,Attached,2,,,Colonial
10249028,CLSD,7/1/2019,625000,2 Stories,1966,1032,Meadowlark,25,60025,3038,10,2,1,No,5,0,Attached,2,,,Colonial
10316416,CLSD,6/3/2019,630000,3 Stories,1961,146,Glenview,25,60025,3140,9,2,1,Yes,4,0,Attached,2.5,,,
10646261,CLSD,4/10/2020,630000,2 Stories,1966,1526,Crown,25,60025,3044,11,2,1,No,5,0,Attached,2,,,
10758416,CLSD,8/17/2020,630000,1 Story,1983,2520,Osage,25,60026,2897,11,2,1,No,4,0,Attached,2.5,,,Ranch
10752151,CLSD,9/9/2020,630000,2 Stories,2001,920,Meadowlark,25,60025,2758,10,2,1,No,4,0,Detached,2,,,
10685890,CLSD,8/14/2020,630000,2 Stories,1963,1523,Alder,25,60025,2507,9,2,1,No,4,0,Attached,2,,,Colonial
10630474,CLSD,6/29/2020,630000,2 Stories,1988,3320,springdale,25,60025,2848,9,3,1,Yes,4,0,Attached,2,,,Colonial
10741289,CLSD,9/10/2020,631000,2 Stories,1973,3917,Chester,25,60026,2879,10,3,1,Yes,4,0,Attached,2,,1440,Colonial
10718375,CLSD,7/15/2020,632500,1 Story,1958,1431,Hollywood,25,60025,2020,8,2,1,No,4,0,Attached,2,4,,Ranch
10293953,CLSD,6/13/2019,633255,2 Stories,2005,2742,Summit,25,60025,3777,7,3,1,Yes,3,0,Attached,2,,,
10844707,CLSD,10/30/2020,634000,2 Stories,1981,3927,Gloria,25,60025,3040,9,2,1,No,4,0,Attached,2,,,Traditional
10329045,CLSD,5/28/2019,635000,2 Stories,2013,1625,Sunset Ridge,25,60025,2836,6,2,1,No,3,0,Attached,2,,,
10841871,CLSD,10/5/2020,635000,Split Level,1958,401,Beech,25,60025,3456,10,3,1,Yes,5,0,Detached,2.5,,,Tri-Level
10783864,CLSD,8/28/2020,635000,2 Stories,1959,3003,Applegate,25,60025,0,9,2,1,No,3,0,Attached,2.5,,,Colonial
10579196,CLSD,1/31/2020,635000,2 Stories,1940,1442,Canterbury,25,60091,2795,8,2,1,No,3,0,Attached,2,,,
10630864,CLSD,6/30/2020,635000,2 Stories,1996,3775,Timbers Edge,25,60025,3100,8,2,1,No,4,0,Attached,2,,,
10603081,CLSD,2/20/2020,635000,3 Stories,2001,2307,Sundrop,25,60026,0,10,3,1,Yes,4,0,Detached,2,,,
10796445,CLSD,12/30/2020,635000,2 Stories,1957,1717,Elmdale,25,60026,3684,11,5,0,Yes,4,0,Attached,3,,972,
10766238,CLSD,10/23/2020,637500,1 Story,1983,2301,Phillips,25,60026,3600,9,3,1,Yes,3,1,Attached,2,,800,Ranch
10783049,CLSD,7/17/2020,639000,Split Level,1957,1253,Roosevelt,25,60025,0,10,2,1,Yes,5,0,Attached,2,,,Tri-Level
10818544,CLSD,10/29/2020,640000,1 Story,1949,1905,Glen Oak,25,60025,2200,7,2,1,No,3,0,Attached,2,,,Ranch
10587813,CLSD,1/31/2020,640000,2 Stories,1968,3634,Maple Leaf,25,60026,2657,9,2,1,No,4,0,Attached,2,,,
10567016,CLSD,12/19/2019,640000,1 Story,1958,1402,Plymouth,25,60025,2900,9,3,0,Yes,3,1,Attached,2,2,,Ranch
10486912,CLSD,3/31/2020,640000,2 Stories,1965,1830,Silverwillow,25,60025,3399,9,2,2,No,4,0,Attached,2,,,Colonial
10822689,CLSD,11/12/2020,640000,2 Stories,2001,501,Warren,25,60025,3096,11,3,0,No,5,0,Attached,3,,,
10480193,CLSD,11/13/2019,640000,2 Stories,1983,2535,Indian Ridge,25,60026,3280,12,3,1,Yes,4,1,Attached,2,,0,Colonial
10520688,CLSD,2/13/2020,644000,Split Level w/ Sub,1964,1513,BLACKTHORN,25,60025,2034,9,3,0,No,5,0,Attached,2,,,
10478646,CLSD,1/6/2020,645000,2 Stories,1989,2008,Franklin,25,60026,4592,12,5,1,Yes,5,0,Attached,3,,,
10770848,CLSD,1/6/2021,647000,2 Stories,1956,700,Juniper,25,60025,0,11,2,1,No,4,0,Attached,1,,,Colonial
10781861,CLSD,9/18/2020,647500,2 Stories,1949,2241,Linneman,25,60025,0,8,2,0,No,3,0,Attached,1,,,Colonial
10730632,CLSD,7/17/2020,648000,1 Story,1950,3412,Henley,25,60025,0,11,3,1,No,4,0,Attached,2,,,Ranch
10896210,CLSD,12/3/2020,648000,1 Story,1983,2539,Osage,25,60025,2588,8,2,1,No,3,0,Attached,2.5,,,Ranch
10855137,CLSD,12/8/2020,649913,2 Stories,1987,1020,Bette,25,60025,3628,11,4,0,Yes,5,0,Attached,3,,,Colonial
10852755,CLSD,10/13/2020,650000,1 Story,1951,724,Hunter,25,60025,2026,7,2,0,No,3,0,Attached,2,,,Ranch
10464358,CLSD,9/20/2019,650000,2 Stories,1976,3804,Brett,25,60026,3700,12,3,1,Yes,4,0,Attached,2,,1000,French Provincial
10305860,CLSD,6/4/2019,650000,2 Stories,1965,1633,Blackthorn,25,60025,2800,10,2,2,No,4,0,Attached,2,,,
10251597,CLSD,3/11/2019,650000,3 Stories,1958,326,Greenfield,25,60025,0,12,4,0,No,5,0,Attached,2,,0,Tri-Level
10280927,CLSD,3/27/2019,650000,1 Story,1953,526,Coronet,25,60025,2283,7,2,1,No,3,0,Attached,3,,,Ranch
10304157,CLSD,5/7/2019,650000,2 Stories,1967,1641,Blackthorn,25,60025,2684,10,2,1,No,4,0,Attached,2.5,,1100,
10309622,CLSD,7/17/2019,650000,2 Stories,2001,4405,Pynsky,25,60026,4814,13,3,1,Yes,4,1,Attached,3,,1360,Colonial
10279017,CLSD,5/28/2019,650000,1 Story,1984,2340,Indian Ridge,25,60025,2581,10,2,1,No,3,0,Attached,2,,,Ranch
10166662,CLSD,3/7/2019,650000,2 Stories,1977,2627,Landwehr,25,60026,2814,11,2,1,No,4,0,Attached,2,,,
10745296,CLSD,7/21/2020,650000,2 Stories,1964,1510,Longvalley,25,60025,3321,9,2,1,No,4,0,Attached,2,,1118,Colonial
10674682,CLSD,10/16/2020,650000,2 Stories,2007,3920,Countryside,25,60025,3910,7,2,1,Yes,4,0,Attached,2,,,
10917964,CLSD,12/28/2020,651500,1.5 Story,1967,1030,Vernon,25,60025,3147,8,3,0,No,4,0,Attached,1.5,,,Cape Cod
10847341,CLSD,11/16/2020,652500,2 Stories,1966,1625,Imperial,25,60026,2908,11,3,1,Yes,4,0,Attached,2,,,
10130742,CLSD,3/22/2019,653500,2 Stories,1997,1505,Ammer,25,60025,2611,9,3,1,Yes,3,0,Attached,2,,,
10135749,CLSD,3/1/2019,655000,1.5 Story,1954,1313,Swainwood,25,60025,0,8,2,0,No,3,0,Attached,1.5,,,Cape Cod
10589500,CLSD,2/18/2020,657000,2 Stories,1999,3545,Thornwood,25,60026,2700,11,3,1,Yes,4,0,Attached,2,,,Colonial
10314265,CLSD,3/30/2020,657500,2 Stories,1984,2515,INDIAN RIDGE,25,60026,3291,9,2,1,No,4,0,Attached,2.1,,,
10449004,CLSD,10/16/2019,658000,2 Stories,1992,3724,Glenlake,25,60026,3481,11,3,2,Yes,4,1,Attached,3,,,
10737121,CLSD,8/28/2020,660000,1 Story,1961,1300,Canterbury,25,60025,0,12,4,0,Yes,5,0,Attached,2,,,
10265255,CLSD,7/10/2019,660000,2 Stories,1948,1953,Robincrest,25,60025,0,9,2,1,No,4,0,Detached,2.5,,,
10041216,CLSD,2/21/2019,660000,2 Stories,1975,1609,Del Ogier,25,60025,3420,10,2,1,No,5,0,Attached,2,,,Colonial
10447643,CLSD,11/18/2019,663000,1 Story,1983,741,Becker,25,60025,2634,10,2,1,Yes,4,0,Attached,2,,2634,Ranch
10779572,CLSD,7/1/2020,665000,Raised Ranch,1966,1716,Sequoia,25,60025,2350,7,2,0,No,3,0,Attached,2,4,1600,Ranch
10794366,CLSD,9/1/2020,665000,2 Stories,1939,1521,Canterbury,25,60025,3179,11,2,1,No,4,0,Attached,2,,633,Cape Cod
10609084,CLSD,3/9/2020,665000,2 Stories,2010,1406,Lake,25,60025,0,12,4,1,Yes,4,1,Attached,2,,,
