MLS #,YearClosed,SoldPr,SFH,Condo,Duplex,Townhouse,YearBuilt,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,AttachedGarage,GarageSpaces,ParkingSpaces,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Stat,recent,new
10253146,2019,178501.1875,0,1,0,0,1983,0,,0,1,0,0,0,0,1117,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10444183,2019,178606.25,0,1,0,0,1979,0,,0,1,0,0,0,0,1335,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10778037,2020,174249.99999999997,0,1,0,0,1977,0,,0,1,0,0,0,0,1254,5,1,1,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10769219,2020,174249.99999999997,0,1,0,0,1976,0,,0,1,0,0,0,0,1100,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10739227,2020,174249.99999999997,0,1,0,0,1978,0,,0,1,0,0,0,0,1335,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10573921,2020,174249.99999999997,0,1,0,0,1983,0,,0,1,0,0,0,0,1100,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10278662,2019,179656.875,0,1,0,0,1979,0,,0,1,0,0,0,0,1050,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10452930,2019,180707.5,0,1,0,0,1973,0,,0,0,1,0,0,0,1200,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10920523,2020,177324.99999999997,0,1,0,0,1978,0,,0,1,0,0,0,0,1050,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10518532,2019,181758.125,0,1,0,0,1972,0,,0,0,1,0,0,0,1200,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10630580,2020,177324.99999999997,0,1,0,0,1975,0,,0,1,0,0,0,0,1000,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
