SoldPr,SFH,Condo,Duplex,Townhouse,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,60002,60025,60026,60029,60035,60053,60062,60067,60076,60077,60091,60201,60202,60203,60625,60626,60638,63104
738000,1,0,0,0,0,0,0,0,1,0,0,0,2992,13,3,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1150434.375,0,1,0,0,0,0,0,0,1,0,0,0,3141,7,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
227985.625,0,1,0,0,0,0,0,1,0,0,0,0,1800,6,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
221912.5,0,1,0,0,0,0,0,1,0,0,0,0,1720,5,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
589375,1,0,0,0,0,0,0,0,1,0,0,0,1672,8,2,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180707.5,0,1,0,0,0,0,0,1,0,0,0,0,1350,5,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
412562.5,1,0,0,0,0,0,0,1,0,0,0,0,2400,6,2,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
573982.7031,1,0,0,0,0,0,0,1,0,0,0,0,1700,6,3,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
441525.1562,1,0,0,0,0,0,0,1,0,0,0,0,1680,10,2,1,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138375,1,0,0,0,0,0,0,1,0,0,0,0,1102,6,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351062.5,1,0,0,0,0,0,0,1,0,0,0,0,1640,7,1,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
